Block Number,Sender,Receiver,Value,Type
21322007,0x421925abb2e3311571f18e545e37fb983318f274,0x807cf9a772d5a3f9cefbc1192e939d62f0d9bd38,0x1772dcc62af100,0x2
21322008,0x665f6572000c972f282e0c77949c2080f1003632,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0,0x2
21322009,0x5c79d93862167a33793430b6a5e7290f753ecaf6,0x24e10bf88f83984f9a22c22d8a0229dde4f32cd3,0x8bf46cad827a0,0x2
21322007,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x3a605c3db,0x2
21322008,0xef42750eb260c851dc7f30716b3e43ba42299ce8,0xa2fde9de6e6ebfe068d3ec0b515669817a9c3808,0x773e38c7e83b18d,0x2
21322009,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x3ccc5bbdb,0x2
21322007,0x55c6dc3dd42b5825075ee02e106364fa73872432,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x0
21322008,0x6f5ee2c8b1d6f12b9da90d15c4d42d8b56bd4efe,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1cff5c8321c1800,0x2
21322009,0x4b72e318940edfde4f56932d67370396c6448833,0x3a10dc1a145da500d5fba38b9ec49c8ff11a981f,0x0,0x2
